Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
247,1,1.6,85.0,2.0,952.0,-0.6,0.0,0.0,0.0
173,2,1.5,86.0,2.5,782.0,-0.5,0.0,0.0,0.0
107,3,1.3,87.0,1.7,822.0,-0.6,0.0,0.0,0.0
75,4,1.3,87.0,2.2,937.0,-0.6,0.0,0.0,0.0
81,5,1.1,88.0,0.9,927.0,-0.6,0.0,0.0,0.0
212,6,0.8,88.0,1.0,900.0,-0.9,0.0,0.0,0.0
600,7,0.6,85.0,1.5,1321.0,-1.6,0.01,0.0,0.0
1174,8,1.1,79.0,1.7,1480.0,-2.1,0.36,0.0,0.0
653,9,2.5,67.0,1.3,1472.0,-3.0,1.11,0.0,0.0
446,10,4.9,56.0,1.9,1480.0,-3.1,1.76,0.0,0.0
565,11,6.9,46.0,2.1,1541.0,-3.9,2.33,0.0,0.0
668,12,8.3,36.0,2.5,1665.0,-5.9,2.7,0.0,0.0
648,13,9.9,29.0,3.2,1641.0,-7.3,2.91,0.0,0.0
674,14,11.4,30.0,3.1,1672.0,-5.5,2.82,0.0,0.0
758,15,10.7,34.0,4.5,1850.0,-4.5,2.51,0.0,0.0
752,16,10.3,34.0,3.8,1850.0,-4.9,1.93,0.0,0.0
999,17,9.6,38.0,3.2,1606.0,-4.0,1.35,0.0,0.0
1495,18,7.9,46.0,3.1,1057.0,-3.0,0.58,0.0,0.0
923,19,6.2,54.0,1.8,883.0,-2.4,0.08,0.0,0.0
739,20,5.1,56.0,2.0,899.0,-2.9,0.0,0.0,0.0
726,21,4.5,62.0,2.0,826.0,-2.1,0.0,0.0,0.0
621,22,3.9,66.0,2.7,990.0,-1.8,0.0,0.0,0.0
428,23,3.4,69.0,1.1,895.0,-1.7,0.0,0.0,0.0
466,0,13.4,77.0,1.5,537.0,9.4,0.0,0.0,0.0
390,1,13.0,81.0,1.9,484.0,9.8,0.0,0.0,0.0
254,2,12.9,83.0,1.6,369.0,10.0,0.0,0.0,0.0
170,3,12.7,80.0,0.4,384.0,9.3,0.0,0.0,0.0
109,4,12.8,81.0,0.2,418.0,9.6,0.0,0.0,0.0
106,5,12.7,83.0,0.8,392.0,9.8,0.0,0.0,0.0
274,6,12.6,83.0,0.5,332.0,9.7,0.0,0.0,0.0
781,7,12.8,82.0,0.6,370.0,9.7,0.01,0.0,0.0
1281,8,13.3,80.0,1.2,369.0,9.9,0.14,0.0,0.0
757,9,13.5,79.0,1.9,382.0,9.9,0.2,0.0,0.0
482,10,15.0,69.0,1.5,552.0,9.3,1.02,0.0,0.0
583,11,16.1,63.0,1.2,555.0,9.0,1.08,0.0,0.0
714,12,18.2,55.0,2.3,594.0,9.0,2.24,0.0,0.0
716,13,19.5,48.0,1.9,596.0,8.1,2.32,0.0,0.0
711,14,20.2,47.0,2.4,541.0,8.5,2.3,0.0,0.0
781,15,20.8,42.0,3.1,576.0,7.4,2.1,0.0,0.0
957,16,20.7,38.0,2.2,741.0,5.8,1.63,0.0,0.0
1194,17,20.3,48.0,2.8,635.0,8.9,1.14,0.0,0.0
1776,18,19.1,47.0,2.4,942.0,7.5,0.57,0.0,0.0
1260,19,17.5,61.0,2.2,758.0,9.8,0.11,0.0,0.0
1079,20,15.6,64.0,2.7,686.0,8.8,0.0,0.0,0.0
1046,21,14.4,66.0,1.7,677.0,8.1,0.0,0.0,0.0
949,22,13.3,71.0,2.1,581.0,8.1,0.0,0.0,0.0
614,23,12.7,75.0,1.6,475.0,8.3,0.0,0.0,0.0
579,0,12.1,70.0,0.8,1050.0,6.7,0.0,0.0,0.0
453,1,11.7,74.0,0.5,979.0,7.2,0.0,0.0,0.0
322,2,11.7,72.0,0.6,915.0,6.8,0.0,0.0,0.0
221,3,11.9,71.0,0.7,853.0,6.7,0.0,0.0,0.0
147,4,12.1,69.0,0.3,827.0,6.5,0.0,0.0,0.0
96,5,12.3,65.0,0.5,1085.0,5.8,0.0,0.0,0.0
110,6,12.4,61.0,0.4,1131.0,5.0,0.0,0.0,0.0
169,7,12.5,62.0,0.4,1003.0,5.4,0.0,0.0,0.0
342,8,12.9,64.0,1.5,778.0,6.2,0.06,0.0,0.0
485,9,13.5,66.0,1.8,934.0,7.2,0.16,0.0,0.0
566,10,14.7,61.0,2.0,945.0,7.2,0.64,0.0,0.0
737,11,16.7,55.0,2.1,1182.0,7.6,1.37,0.0,0.0
926,12,18.0,53.0,3.1,1350.0,8.2,1.53,0.0,0.0
1156,13,17.9,60.0,2.2,1248.0,10.0,0.86,0.0,0.0
1201,14,17.5,67.0,2.1,832.0,11.2,0.42,0.0,0.0
1349,15,18.2,63.0,2.2,687.0,11.0,0.72,0.0,0.0
1409,16,18.2,69.0,3.2,625.0,12.4,0.87,0.0,0.0
1362,17,18.0,72.0,1.8,559.0,12.8,0.47,0.0,0.0
1296,18,17.7,75.0,2.1,519.0,13.2,0.12,0.0,0.0
1066,19,17.4,79.0,2.3,614.0,13.7,0.03,0.0,0.0
984,20,17.1,80.0,1.5,480.0,13.6,0.0,0.0,0.0
983,21,16.9,81.0,1.9,472.0,13.6,0.0,0.0,0.0
841,22,16.7,83.0,2.4,416.0,13.7,0.0,0.0,0.0
588,23,16.3,82.0,1.3,480.0,13.2,0.0,0.0,0.0
485,0,9.0,46.0,1.2,1259.0,-2.0,0.0,0.0,0.0
376,1,9.0,44.0,1.0,1314.0,-2.6,0.0,0.0,0.0
250,2,8.8,43.0,1.0,1490.0,-3.1,0.0,0.0,0.0
149,3,8.1,48.0,0.8,1455.0,-2.2,0.0,0.0,0.0
102,4,7.5,48.0,1.0,1458.0,-2.8,0.0,0.0,0.0
123,5,7.1,53.0,0.8,1392.0,-1.8,0.0,0.0,0.0
370,6,6.9,51.0,0.9,1546.0,-2.5,0.0,0.0,0.0
981,7,7.2,50.0,1.1,1454.0,-2.5,0.1,0.0,0.0
1702,8,9.6,38.0,1.4,1527.0,-4.0,0.58,0.0,0.0
982,9,11.9,35.0,1.1,1664.0,-3.1,0.95,0.0,0.0
703,10,15.2,31.0,1.6,1757.0,-1.8,1.84,0.0,0.0
839,11,18.5,27.0,1.3,1610.0,-0.8,2.59,0.0,0.0
1023,12,20.5,37.0,4.6,1761.0,5.2,2.94,0.0,0.0
967,13,21.9,34.0,5.1,1861.0,5.3,2.77,0.0,0.0
913,14,21.2,35.0,7.4,1992.0,5.1,1.8,0.0,0.0
933,15,21.4,33.0,4.8,1998.0,4.4,1.63,0.0,0.0
1080,16,20.9,34.0,5.8,2000.0,4.4,1.37,0.0,0.0
1004,17,20.6,39.0,5.6,2000.0,6.1,0.74,0.0,0.0
1805,18,19.7,52.0,7.2,2000.0,9.5,0.2,0.0,0.0
1153,19,19.2,55.0,5.8,2000.0,9.9,0.01,0.0,0.0
336,20,19.1,58.0,6.1,2000.0,10.6,0.0,0.0,0.0
133,21,17.5,70.0,7.3,1634.0,11.9,0.0,0.5,0.0
75,22,15.8,83.0,5.4,691.0,12.9,0.0,1.5,0.0
212,23,15.1,83.0,4.1,1147.0,12.2,0.0,3.0,0.0
520,0,9.8,44.0,1.4,1268.0,-1.8,0.0,0.0,0.0
42,1,9.3,45.0,0.8,1263.0,-2.0,0.0,0.0,0.0
281,2,8.8,49.0,0.7,1272.0,-1.3,0.0,0.0,0.0
206,3,8.6,53.0,1.5,1185.0,-0.4,0.0,0.0,0.0
125,4,8.3,53.0,1.1,1007.0,-0.7,0.0,0.0,0.0
153,5,7.9,59.0,1.4,1005.0,0.3,0.0,0.0,0.0
367,6,7.6,55.0,1.2,1021.0,-0.8,0.0,0.0,0.0
254,7,7.7,48.0,0.4,1110.0,-2.6,0.19,0.0,0.0
20,8,9.6,39.0,0.8,1003.0,-3.7,0.79,0.0,0.0
316,9,12.4,29.0,1.5,1380.0,-5.1,1.49,0.0,0.0
139,10,14.7,29.0,1.7,1070.0,-3.1,2.07,0.0,0.0
795,11,16.1,23.0,2.5,1361.0,-5.0,2.52,0.0,0.0
919,12,17.8,21.0,2.7,1335.0,-4.8,2.79,0.0,0.0
930,13,19.2,17.0,2.2,1448.0,-6.4,2.89,0.0,0.0
996,14,20.5,17.0,3.1,1512.0,-5.4,2.83,0.0,0.0
1039,15,20.2,21.0,4.8,1161.0,-2.8,2.53,0.0,0.0
1198,16,19.8,25.0,4.4,1132.0,-0.8,2.02,0.0,0.0
1534,17,20.1,27.0,1.9,1088.0,0.4,1.38,0.0,0.0
2198,18,19.1,31.0,3.0,958.0,1.5,0.7,0.0,0.0
1489,19,17.4,34.0,2.2,779.0,1.3,0.16,0.0,0.0
1313,20,15.5,38.0,1.7,745.0,1.2,0.0,0.0,0.0
1165,21,14.2,44.0,2.4,1290.0,2.1,0.0,0.0,0.0
1054,22,13.4,49.0,1.1,1326.0,2.8,0.0,0.0,0.0
677,23,12.9,51.0,1.7,1200.0,2.9,0.0,0.0,0.0
692,0,13.1,47.0,0.3,1877.0,2.0,0.0,0.0,0.0
546,1,12.4,55.0,1.0,1836.0,3.5,0.0,0.0,0.0
409,2,11.9,57.0,1.0,1793.0,3.6,0.0,0.0,0.0
239,3,11.3,66.0,1.0,1506.0,5.1,0.0,0.0,0.0
140,4,10.7,70.0,0.7,1404.0,5.4,0.0,0.0,0.0
180,5,10.2,73.0,0.8,1137.0,5.5,0.0,0.0,0.0
452,6,10.0,72.0,0.8,1217.0,5.1,0.01,0.0,0.0
1124,7,10.7,68.0,0.8,1093.0,5.0,0.27,0.0,0.0
1933,8,11.7,62.0,0.6,956.0,4.6,0.62,0.0,0.0
1027,9,14.0,54.0,1.5,1054.0,4.8,1.37,0.0,0.0
745,10,16.7,47.0,2.2,1147.0,5.3,2.26,0.0,0.0
930,11,18.1,42.0,2.7,1112.0,4.9,2.17,0.0,0.0
1197,12,19.6,36.0,2.2,962.0,4.1,2.55,0.0,0.0
1084,13,20.6,30.0,2.4,1048.0,2.3,2.67,0.0,0.0
1123,14,21.6,28.0,3.1,1414.0,2.2,2.84,0.0,0.0
1227,15,21.9,23.0,2.6,1463.0,-0.1,2.66,0.0,0.0
1386,16,21.7,23.0,2.5,1404.0,-0.3,1.97,0.0,0.0
1796,17,20.7,30.0,3.3,1482.0,2.4,1.48,0.0,0.0
2574,18,17.4,45.0,3.1,1092.0,5.3,0.75,0.0,0.0
1891,19,15.2,45.0,3.3,1138.0,3.3,0.24,0.0,0.0
1531,20,14.4,50.0,2.7,1216.0,4.0,0.01,0.0,0.0
1447,21,13.4,60.0,2.2,1517.0,5.7,0.0,0.0,0.0
1146,22,12.7,61.0,2.2,1949.0,5.3,0.0,0.0,0.0
851,23,12.1,58.0,1.9,1719.0,4.0,0.0,0.0,0.0
624,0,10.0,63.0,2.1,1653.0,3.2,0.0,0.0,0.0
480,1,9.7,63.0,2.1,1610.0,2.9,0.0,0.0,0.0
352,2,9.6,65.0,1.5,1654.0,3.3,0.0,0.0,0.0
224,3,9.6,66.0,0.9,1685.0,3.5,0.0,0.0,0.0
138,4,9.5,66.0,1.1,1737.0,3.4,0.0,0.0,0.0
186,5,9.2,63.0,0.8,1896.0,2.5,0.0,0.0,0.0
521,6,9.0,57.0,1.7,1903.0,0.9,0.0,0.0,0.0
1260,7,9.5,55.0,2.1,1912.0,0.8,0.32,0.0,0.0
2041,8,11.3,46.0,1.2,1788.0,0.0,1.04,0.0,0.0
1155,9,14.1,42.0,1.9,1893.0,1.3,1.78,0.0,0.0
864,10,16.1,37.0,2.9,1629.0,1.3,2.4,0.0,0.0
1021,11,17.2,35.0,3.6,1731.0,1.5,2.93,0.0,0.0
1206,12,17.9,32.0,4.6,1874.0,0.9,3.28,0.0,0.0
1222,13,18.9,30.0,3.8,1854.0,0.9,3.39,0.0,0.0
1266,14,18.8,31.0,4.9,1940.0,1.2,3.31,0.0,0.0
1323,15,19.9,26.0,3.8,1898.0,-0.1,3.0,0.0,0.0
1501,16,18.6,30.0,5.1,1891.0,0.6,2.49,0.0,0.0
1857,17,18.1,30.0,4.6,1925.0,0.2,1.86,0.0,0.0
2661,18,17.1,35.0,3.4,1961.0,1.4,1.11,0.0,0.0
1890,19,15.5,46.0,2.6,1782.0,3.9,0.34,0.0,0.0
1389,20,14.1,46.0,3.4,1940.0,2.6,0.01,0.0,0.0
1298,21,13.3,47.0,1.9,1805.0,2.2,0.0,0.0,0.0
1256,22,12.7,55.0,2.0,1775.0,3.8,0.0,0.0,0.0
935,23,12.4,58.0,2.5,1843.0,4.3,0.0,0.0,0.0
778,0,15.5,85.0,0.9,2000.0,12.9,0.0,0.0,0.0
609,1,15.1,84.0,0.3,1858.0,12.4,0.0,0.0,0.0
404,2,14.8,85.0,0.4,1831.0,12.2,0.0,0.0,0.0
249,3,14.7,82.0,0.8,1822.0,11.6,0.0,0.0,0.0
185,4,14.4,85.0,0.8,1437.0,11.9,0.0,0.0,0.0
170,5,14.2,85.0,0.5,1412.0,11.7,0.0,0.0,0.0
221,6,14.0,87.0,0.8,1334.0,11.8,0.01,0.0,0.0
389,7,14.2,81.0,0.3,1991.0,10.9,0.13,0.0,0.0
600,8,14.8,80.0,0.3,1921.0,11.3,0.31,0.0,0.0
737,9,15.9,72.0,0.5,1835.0,10.8,0.67,0.0,0.0
895,10,17.5,63.0,0.6,1916.0,10.3,0.96,0.0,0.0
1167,11,20.2,45.0,1.1,1894.0,7.8,2.33,0.0,0.0
1414,12,22.9,35.0,0.8,1948.0,6.6,3.05,0.0,0.0
1665,13,23.7,44.0,1.7,1897.0,10.7,2.35,0.0,0.0
1970,14,24.1,42.0,1.2,1770.0,10.3,1.93,0.0,0.0
2191,15,24.6,38.0,2.1,1478.0,9.3,1.85,0.0,0.0
2213,16,24.5,38.0,2.2,1903.0,9.2,1.1,0.0,0.0
2392,17,25.5,31.0,2.3,1974.0,7.1,1.5,0.0,0.0
2268,18,25.1,32.0,2.4,1899.0,7.2,1.1,0.0,0.0
1664,19,23.5,48.0,1.5,1929.0,11.8,0.4,0.0,0.0
1912,20,20.9,61.0,2.7,1523.0,13.0,0.01,0.0,0.0
1717,21,19.6,64.0,1.5,1297.0,12.5,0.0,0.0,0.0
1336,22,18.6,69.0,1.7,1047.0,12.7,0.0,0.0,0.0
994,23,17.5,69.0,1.5,978.0,11.7,0.0,0.0,0.0
118,0,22.0,97.0,1.6,152.0,21.4,0.0,0.5,0.0
144,1,22.0,97.0,2.1,192.0,21.4,0.0,0.5,0.0
78,2,21.8,97.0,1.3,175.0,21.2,0.0,1.0,0.0
38,3,21.8,98.0,0.6,113.0,21.4,0.0,2.5,0.0
51,4,19.2,98.0,2.4,1965.0,18.8,0.0,19.0,0.0
54,5,18.8,97.0,0.9,1927.0,18.3,0.0,0.0,0.0
69,6,18.9,98.0,0.3,338.0,18.5,0.0,0.0,0.0
80,7,19.1,98.0,0.3,125.0,18.7,0.0,0.0,0.0
152,8,19.7,98.0,0.5,1958.0,19.3,0.12,13.5,0.0
28,9,19.7,98.0,0.5,659.0,19.3,0.05,10.0,0.0
141,10,20.1,98.0,1.2,885.0,19.7,0.13,2.0,0.0
182,11,20.4,98.0,0.9,300.0,20.0,0.25,2.5,0.0
467,12,21.7,96.0,0.8,1773.0,21.0,0.81,1.5,0.0
592,13,23.4,83.0,1.7,1944.0,20.3,1.5,0.0,0.0
352,14,23.4,81.0,0.6,1921.0,19.9,0.5,0.0,0.0
186,15,22.8,95.0,1.6,294.0,21.9,0.11,0.5,0.0
102,16,22.9,95.0,0.4,385.0,22.0,0.31,0.0,0.0
131,17,22.7,96.0,0.4,249.0,22.0,0.11,2.5,0.0
431,18,22.6,97.0,1.1,304.0,22.0,0.07,1.5,0.0
29,19,22.3,96.0,2.6,191.0,21.6,0.0,0.0,0.0
17,20,21.3,97.0,2.8,388.0,20.7,0.0,12.5,0.0
18,21,20.5,97.0,1.1,726.0,20.0,0.0,4.0,0.0
26,22,20.2,98.0,0.5,468.0,19.8,0.0,6.0,0.0
35,23,20.0,98.0,1.8,589.0,19.6,0.0,2.5,0.0
778,0,13.7,51.0,1.3,1651.0,3.7,0.0,0.0,0.0
578,1,12.9,62.0,0.6,1557.0,5.7,0.0,0.0,0.0
385,2,12.5,54.0,0.7,1500.0,3.4,0.0,0.0,0.0
265,3,12.1,64.0,0.8,1538.0,5.4,0.0,0.0,0.0
161,4,11.7,64.0,1.6,1578.0,5.1,0.0,0.0,0.0
205,5,11.3,64.0,1.2,1634.0,4.7,0.0,0.0,0.0
530,6,11.4,67.0,1.0,1600.0,5.4,0.04,0.0,0.0
1390,7,12.5,61.0,1.3,1818.0,5.1,0.42,0.0,0.0
2081,8,15.2,50.0,1.6,1530.0,4.8,1.1,0.0,0.0
1226,9,17.6,30.0,1.1,1531.0,0.0,1.79,0.0,0.0
880,10,19.9,27.0,2.7,1775.0,0.3,2.44,0.0,0.0
922,11,21.5,30.0,2.9,1779.0,3.1,2.92,0.0,0.0
1087,12,22.1,36.0,5.3,1696.0,6.3,3.2,0.0,0.0
1078,13,23.3,35.0,3.7,1874.0,6.9,3.28,0.0,0.0
1059,14,23.2,36.0,4.9,1597.0,7.2,3.18,0.0,0.0
1174,15,23.5,36.0,3.2,1786.0,7.5,2.91,0.0,0.0
1455,16,23.5,36.0,4.0,1763.0,7.5,2.42,0.0,0.0
1863,17,23.4,38.0,2.7,1885.0,8.2,1.76,0.0,0.0
2825,18,22.6,39.0,2.8,1655.0,7.9,1.1,0.0,0.0
2334,19,21.1,44.0,2.6,1512.0,8.3,0.41,0.0,0.0
1902,20,20.0,46.0,2.6,1414.0,8.0,0.05,0.0,0.0
1838,21,19.3,50.0,1.7,1381.0,8.6,0.0,0.0,0.0
1678,22,18.6,54.0,2.3,1328.0,9.0,0.0,0.0,0.0
1087,23,18.1,56.0,1.6,1095.0,9.1,0.0,0.0,0.0
844,0,15.8,82.0,1.6,546.0,12.7,0.0,0.0,0.0
610,1,15.5,82.0,1.5,513.0,12.4,0.0,0.0,0.0
470,2,15.2,84.0,0.7,485.0,12.5,0.0,0.0,0.0
328,3,15.0,84.0,1.3,473.0,12.3,0.0,0.0,0.0
188,4,14.8,85.0,0.7,478.0,12.2,0.0,0.0,0.0
265,5,14.4,82.0,1.2,708.0,11.3,0.0,0.0,0.0
646,6,14.3,82.0,0.7,653.0,11.2,0.05,0.0,0.0
1401,7,14.9,71.0,0.9,651.0,9.6,0.47,0.0,0.0
2281,8,16.9,65.0,1.6,896.0,10.2,1.21,0.0,0.0
1277,9,18.8,59.0,1.6,1233.0,10.6,1.9,0.0,0.0
936,10,20.8,54.0,1.2,1129.0,11.1,2.45,0.0,0.0
979,11,22.0,54.0,2.7,1189.0,12.2,2.89,0.0,0.0
1134,12,23.7,44.0,1.3,1624.0,10.7,3.2,0.0,0.0
1151,13,25.0,47.0,2.5,1120.0,12.8,3.34,0.0,0.0
1164,14,25.9,43.0,2.7,1493.0,12.3,2.97,0.0,0.0
1280,15,26.9,37.0,2.7,1850.0,10.9,2.9,0.0,0.0
1550,16,27.3,38.0,2.9,1784.0,11.7,2.41,0.0,0.0
2047,17,27.2,42.0,2.9,1828.0,13.1,1.79,0.0,0.0
3119,18,26.4,42.0,3.1,1995.0,12.4,0.79,0.0,0.0
2534,19,25.2,53.0,3.1,1983.0,0.0,0.51,0.0,0.0
2164,20,23.1,58.0,2.9,1950.0,14.3,0.06,0.0,0.0
2070,21,21.9,60.0,2.5,1551.0,13.7,0.0,0.0,0.0
1900,22,21.1,59.0,2.1,1874.0,12.7,0.0,0.0,0.0
1343,23,20.5,62.0,2.2,1903.0,12.9,0.0,0.0,0.0
1247,0,19.7,83.0,1.5,390.0,16.7,0.0,0.0,0.0
1029,1,19.7,81.0,0.6,419.0,16.3,0.0,0.0,0.0
732,2,19.4,84.0,0.7,382.0,16.6,0.0,0.0,0.0
535,3,19.1,84.0,0.6,421.0,16.3,0.0,0.0,0.0
352,4,19.0,83.0,0.4,473.0,16.0,0.0,0.0,0.0
262,5,19.0,85.0,0.4,467.0,16.4,0.0,0.0,0.0
381,6,19.0,84.0,0.5,440.0,16.2,0.05,0.0,0.0
616,7,20.2,73.0,1.1,708.0,15.1,0.41,0.0,0.0
963,8,21.9,62.0,0.9,1071.0,14.2,1.03,0.0,0.0
1102,9,24.0,55.0,1.8,1411.0,14.3,1.81,0.0,0.0
1156,10,25.8,49.0,1.3,1442.0,14.2,2.42,0.0,0.0
1200,11,27.2,46.0,1.7,1301.0,14.5,2.88,0.0,0.0
1462,12,28.2,42.0,1.4,1563.0,14.0,2.84,0.0,0.0
1583,13,28.8,42.0,2.0,1438.0,14.6,2.38,0.0,0.0
1744,14,30.1,35.0,1.4,1583.0,12.9,2.53,0.0,0.0
1890,15,29.6,40.0,2.5,1546.0,14.5,1.96,0.0,0.0
2297,16,28.7,40.0,2.5,1474.0,13.7,1.0,0.0,0.0
2355,17,28.2,39.0,2.9,1653.0,12.9,0.7,0.0,0.0
1934,18,27.3,42.0,1.2,2000.0,13.2,0.19,0.0,0.0
1058,19,25.7,47.0,1.8,2000.0,13.5,0.04,0.0,0.0
246,20,23.7,62.0,1.6,1402.0,15.9,0.0,0.4,0.0
225,21,22.4,72.0,1.5,1816.0,17.0,0.0,0.1,0.0
776,22,21.0,75.0,1.3,2000.0,16.3,0.0,0.0,0.0
766,23,20.7,66.0,1.6,2000.0,14.1,0.0,0.0,0.0
470,0,18.0,94.0,0.7,1906.0,17.0,0.0,1.0,0.0
454,1,17.7,92.0,0.9,1958.0,16.3,0.0,0.0,0.0
385,2,17.7,87.0,1.2,2000.0,15.5,0.0,0.0,0.0
206,3,17.5,87.0,0.5,1995.0,15.3,0.0,0.0,0.0
144,4,17.5,84.0,0.8,2000.0,14.7,0.0,0.0,0.0
296,5,17.2,87.0,0.6,2000.0,15.0,0.0,0.0,0.0
740,6,16.7,85.0,1.0,2000.0,14.1,0.03,0.0,0.0
1573,7,17.1,77.0,1.5,1748.0,13.0,0.49,0.0,0.0
2495,8,19.0,67.0,1.1,1976.0,12.7,1.29,0.0,0.0
1317,9,21.1,60.0,0.9,1998.0,13.0,2.18,0.0,0.0
971,10,22.1,53.0,1.1,1999.0,12.0,2.28,0.0,0.0
1092,11,22.9,54.0,2.6,1959.0,13.0,2.56,0.0,0.0
1202,12,24.0,51.0,1.8,2000.0,13.2,2.29,0.0,0.0
1215,13,25.7,46.0,0.8,2000.0,13.2,3.18,0.0,0.0
1246,14,25.6,45.0,2.2,1961.0,12.7,1.39,0.0,0.0
1427,15,26.2,42.0,2.7,1977.0,12.2,1.59,0.0,0.0
1714,16,26.2,47.0,3.8,1996.0,13.9,2.45,0.0,0.0
2270,17,26.4,47.0,3.0,1976.0,14.1,1.76,0.0,0.0
3404,18,24.9,53.0,3.6,2000.0,14.6,1.28,0.0,0.0
2873,19,23.1,58.0,2.4,1997.0,14.3,0.59,0.0,0.0
2579,20,21.6,62.0,3.3,2000.0,13.9,0.09,0.0,0.0
2505,21,20.6,70.0,1.8,1986.0,14.9,0.0,0.0,0.0
2309,22,20.0,70.0,1.0,2000.0,14.3,0.0,0.0,0.0
1657,23,19.5,72.0,0.6,1989.0,14.3,0.0,0.0,0.0
1047,0,21.1,69.0,0.5,1086.0,15.1,0.0,0.0,0.0
715,1,20.8,72.0,1.0,912.0,15.5,0.0,0.0,0.0
453,2,20.8,73.0,0.8,829.0,15.7,0.0,0.0,0.0
289,3,20.8,73.0,0.7,756.0,15.7,0.0,0.0,0.0
193,4,21.0,72.0,0.8,677.0,15.7,0.0,0.0,0.0
154,5,20.3,84.0,3.2,518.0,17.5,0.0,0.0,0.0
100,6,19.5,95.0,1.4,179.0,18.6,0.0,1.5,0.0
94,7,19.4,97.0,0.9,272.0,18.9,0.0,13.5,0.0
187,8,18.9,97.0,1.2,492.0,18.4,0.06,11.5,0.0
175,9,19.1,96.0,0.6,273.0,18.4,0.17,1.5,0.0
532,10,19.7,94.0,1.1,497.0,18.7,0.61,1.0,0.0
735,11,20.5,79.0,1.7,770.0,16.7,1.25,0.0,0.0
945,12,21.2,75.0,0.7,876.0,16.5,1.07,0.0,0.0
1056,13,22.8,67.0,1.2,930.0,16.3,1.55,0.0,0.0
1153,14,23.8,62.0,1.2,1282.0,16.0,1.91,0.0,0.0
1292,15,24.6,57.0,1.8,1664.0,15.5,1.54,0.0,0.0
1550,16,25.0,56.0,0.7,1723.0,15.6,1.27,0.0,0.0
1934,17,24.6,57.0,1.0,1866.0,15.5,0.45,0.0,0.0
2962,18,24.0,61.0,1.5,1935.0,16.0,0.26,0.0,0.0
1856,19,23.6,63.0,0.6,1956.0,16.1,0.19,0.0,0.0
1557,20,22.6,74.0,1.2,1594.0,17.7,0.01,0.0,0.0
1807,21,22.2,72.0,1.0,1786.0,16.9,0.0,0.0,0.0
1737,22,21.8,72.0,1.0,1952.0,16.5,0.0,0.0,0.0
1295,23,21.6,68.0,0.8,2000.0,15.4,0.0,0.0,0.0
1083,0,20.0,83.0,2.6,547.0,17.0,0.0,0.0,0.0
794,1,20.1,82.0,1.2,582.0,16.9,0.0,0.0,0.0
539,2,20.2,82.0,0.9,575.0,17.0,0.0,0.0,0.0
394,3,20.0,83.0,1.7,607.0,17.0,0.0,0.0,0.0
215,4,19.6,87.0,1.2,465.0,17.3,0.0,0.0,0.0
308,5,19.4,82.0,2.1,677.0,16.2,0.0,0.0,0.0
709,6,19.5,80.0,1.6,709.0,15.9,0.04,0.0,0.0
1543,7,19.9,74.0,1.7,683.0,15.1,0.21,0.0,0.0
2370,8,21.4,65.0,1.9,821.0,14.5,1.15,0.0,0.0
1360,9,22.7,59.0,2.0,940.0,14.2,1.77,0.0,0.0
922,10,23.9,57.0,2.1,977.0,14.8,2.54,0.0,0.0
1066,11,25.5,57.0,1.8,943.0,16.3,3.01,0.0,0.0
1197,12,26.4,46.0,1.4,1103.0,13.8,3.26,0.0,0.0
1147,13,27.3,33.0,3.4,1921.0,9.6,3.42,0.0,0.0
1152,14,28.0,39.0,2.6,1833.0,12.7,3.14,0.0,0.0
1276,15,28.3,40.0,3.2,1619.0,13.4,2.96,0.0,0.0
1473,16,28.5,42.0,3.1,1622.0,14.3,2.62,0.0,0.0
2176,17,28.4,43.0,3.3,1715.0,14.6,2.04,0.0,0.0
3418,18,27.8,43.0,3.0,1933.0,14.0,1.35,0.0,0.0
2811,19,26.9,42.0,2.4,2000.0,12.8,0.62,0.0,0.0
2556,20,25.1,55.0,2.3,1779.0,15.4,0.08,0.0,0.0
2436,21,23.8,63.0,1.5,1455.0,16.3,0.0,0.0,0.0
2179,22,22.8,67.0,2.1,1042.0,16.3,0.0,0.0,0.0
1497,23,21.9,59.0,2.6,1188.0,13.5,0.0,0.0,0.0
561,0,22.2,84.0,1.1,482.0,19.3,0.0,0.0,0.0
1068,1,22.2,84.0,0.3,610.0,19.3,0.0,0.0,0.0
652,2,22.4,84.0,0.6,667.0,19.5,0.0,0.0,0.0
344,3,22.4,86.0,0.6,618.0,19.9,0.0,0.0,0.0
233,4,22.3,88.0,0.9,298.0,20.2,0.0,0.0,0.0
266,5,22.1,93.0,0.4,333.0,20.9,0.0,0.0,0.0
594,6,22.0,90.0,0.4,373.0,20.2,0.04,0.1,0.0
1391,7,22.7,81.0,0.4,866.0,19.2,0.4,0.0,0.0
2288,8,24.2,73.0,1.0,1581.0,19.0,0.96,0.0,0.0
1246,9,24.8,75.0,1.1,1418.0,20.0,0.63,0.0,0.0
826,10,25.3,70.0,0.6,1386.0,19.4,0.7,0.0,0.0
938,11,26.5,64.0,1.8,1806.0,19.1,1.3,0.0,0.0
1158,12,27.0,68.0,2.0,1863.0,20.5,1.3,0.0,0.0
1040,13,27.2,68.0,1.8,1575.0,20.7,1.1,0.0,0.0
